,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,vaccines,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
496,Belgium,2021-01-18,134885.0,134776.0,109.0,14593.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",678839.0,1630.0,611445.0,20435.0,39.0
497,Belgium,2021-01-19,154096.0,153806.0,290.0,15119.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",679771.0,932.0,611973.0,20472.0,37.0
498,Belgium,2021-01-20,175158.0,174445.0,713.0,15115.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",681250.0,1479.0,613181.0,20554.0,82.0
499,Belgium,2021-01-21,204964.0,204251.0,713.0,16085.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",684256.0,3006.0,616169.0,20572.0,18.0
500,Belgium,2021-01-22,234223.0,233479.0,744.0,16963.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",686827.0,2571.0,618532.0,20620.0,48.0
501,Belgium,2021-01-23,242418.0,241667.0,751.0,17400.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",689271.0,2444.0,620776.0,20675.0,55.0
502,Belgium,2021-01-24,244294.0,243543.0,751.0,17199.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",691854.0,2583.0,623165.0,20726.0,51.0
503,Belgium,2021-01-25,255532.0,254781.0,751.0,17235.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",693666.0,1812.0,624761.0,20779.0,53.0
504,Belgium,2021-01-26,267935.0,265698.0,2237.0,16263.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",694858.0,1192.0,625857.0,20814.0,35.0
505,Belgium,2021-01-27,284050.0,278626.0,5424.0,15556.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",696642.0,1784.0,627539.0,20879.0,65.0
506,Belgium,2021-01-28,306344.0,293833.0,12511.0,14483.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",699662.0,3020.0,630338.0,20933.0,54.0
507,Belgium,2021-01-29,326346.0,305500.0,20846.0,13160.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",702437.0,2775.0,632899.0,20982.0,49.0
508,Belgium,2021-01-30,330802.0,307084.0,23718.0,12626.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",705120.0,2683.0,635394.0,21018.0,36.0
509,Belgium,2021-01-31,331701.0,307655.0,24046.0,12487.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",707837.0,2717.0,637931.0,21066.0,48.0
510,Belgium,2021-02-01,339345.0,311570.0,27775.0,11973.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",710153.0,2316.0,640052.0,21092.0,26.0
511,Belgium,2021-02-02,362493.0,321406.0,41087.0,13508.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",711417.0,1264.0,641232.0,21124.0,32.0
512,Belgium,2021-02-03,391262.0,330819.0,60443.0,15316.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",713271.0,1854.0,642986.0,21173.0,49.0
513,Belgium,2021-02-04,423400.0,339802.0,83598.0,16722.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",716395.0,3124.0,645877.0,21216.0,43.0
514,Belgium,2021-02-05,452773.0,347304.0,105469.0,18061.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",718847.0,2452.0,648146.0,21260.0,44.0
515,Belgium,2021-02-06,459124.0,348536.0,110588.0,18332.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",721432.0,2585.0,650550.0,21295.0,35.0
516,Belgium,2021-02-07,462242.0,348837.0,113405.0,18649.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",723870.0,2438.0,652781.0,21352.0,57.0
517,Belgium,2021-02-08,472128.0,351118.0,121010.0,18969.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",725610.0,1740.0,654310.0,21389.0,37.0
518,Belgium,2021-02-09,498780.0,358752.0,140028.0,19470.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",726483.0,873.0,655077.0,21423.0,34.0
519,Belgium,2021-02-10,523393.0,365199.0,158194.0,18876.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",728334.0,1851.0,656835.0,21472.0,49.0
520,Belgium,2021-02-11,558432.0,372812.0,185620.0,19290.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",730951.0,2617.0,659238.0,21512.0,40.0
521,Belgium,2021-02-12,591717.0,378983.0,212734.0,19849.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",733100.0,2149.0,661187.0,21551.0,39.0
522,Belgium,2021-02-13,600135.0,379566.0,220569.0,20144.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",735220.0,2120.0,663101.0,21599.0,48.0
523,Belgium,2021-02-14,602051.0,379639.0,222412.0,19973.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",737115.0,1895.0,664810.0,21634.0,35.0
524,Belgium,2021-02-15,615401.0,381634.0,233767.0,20468.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",738631.0,1516.0,666122.0,21662.0,28.0
525,Belgium,2021-02-16,629807.0,385990.0,243817.0,18718.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",739488.0,857.0,666889.0,21702.0,40.0
526,Belgium,2021-02-17,649028.0,393035.0,255993.0,17948.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",741205.0,1717.0,668525.0,21750.0,48.0
527,Belgium,2021-02-18,675253.0,403868.0,271385.0,16689.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",743882.0,2677.0,670982.0,21793.0,43.0
528,Belgium,2021-02-19,704703.0,420937.0,283766.0,16141.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",746302.0,2420.0,673249.0,21821.0,28.0
529,Belgium,2021-02-20,710199.0,424863.0,285336.0,15723.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",749739.0,3437.0,676485.0,21859.0,38.0
530,Belgium,2021-02-21,712251.0,426655.0,285596.0,15743.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",752379.0,2640.0,678976.0,21887.0,28.0
531,Belgium,2021-02-22,724267.0,435950.0,288317.0,15552.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",754473.0,2094.0,680892.0,21903.0,16.0
532,Belgium,2021-02-23,742879.0,447291.0,295588.0,16153.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",755594.0,1121.0,681941.0,21923.0,20.0
533,Belgium,2021-02-24,763843.0,460804.0,303039.0,16402.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",757696.0,2102.0,683973.0,21956.0,33.0
534,Belgium,2021-02-25,793841.0,483126.0,310715.0,16941.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",760809.0,3113.0,686875.0,21988.0,32.0
535,Belgium,2021-02-26,823771.0,507241.0,316530.0,17010.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",763885.0,3076.0,689788.0,22006.0,18.0
536,Belgium,2021-02-27,827916.0,510643.0,317273.0,16817.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",766654.0,2769.0,692387.0,22034.0,28.0
537,Belgium,2021-02-28,828735.0,511242.0,317493.0,16641.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",769414.0,2760.0,695003.0,22052.0,18.0
538,Belgium,2021-03-01,840840.0,520976.0,319864.0,16653.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",771511.0,2097.0,696910.0,22077.0,25.0
539,Belgium,2021-03-02,860908.0,535840.0,325068.0,16861.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",772294.0,783.0,697603.0,22106.0,29.0
540,Belgium,2021-03-03,878910.0,550852.0,328058.0,16438.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",774344.0,2050.0,699566.0,22141.0,35.0
541,Belgium,2021-03-04,900958.0,569985.0,330973.0,15302.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",777608.0,3264.0,702576.0,22169.0,28.0
908,Chile,2021-01-13,11732.0,10703.0,1029.0,147.0,"Pfizer/BioNTech, Sinovac",652525.0,3390.0,23757.0,17204.0,22.0
909,Chile,2021-01-14,18646.0,12821.0,5825.0,1135.0,"Pfizer/BioNTech, Sinovac",656712.0,4187.0,25151.0,17294.0,90.0
910,Chile,2021-01-15,22075.0,13778.0,8297.0,1625.0,"Pfizer/BioNTech, Sinovac",661180.0,4468.0,26439.0,17369.0,75.0
911,Chile,2021-01-16,22165.0,13801.0,8364.0,1638.0,"Pfizer/BioNTech, Sinovac",665493.0,4313.0,25737.0,17435.0,66.0
912,Chile,2021-01-17,22165.0,13801.0,8364.0,1638.0,"Pfizer/BioNTech, Sinovac",669832.0,4339.0,25827.0,17477.0,42.0
913,Chile,2021-01-18,33210.0,24846.0,8364.0,3215.0,"Pfizer/BioNTech, Sinovac",673750.0,3918.0,25385.0,17547.0,70.0
914,Chile,2021-01-19,52526.0,44160.0,8366.0,5975.0,"Pfizer/BioNTech, Sinovac",677151.0,3401.0,24618.0,17573.0,26.0
915,Chile,2021-01-20,61835.0,53469.0,8366.0,7158.0,"Pfizer/BioNTech, Sinovac",680740.0,3589.0,24055.0,17594.0,21.0
916,Chile,2021-01-21,64896.0,56530.0,8366.0,6607.0,"Pfizer/BioNTech, Sinovac",685107.0,4367.0,25401.0,17702.0,108.0
917,Chile,2021-01-22,65307.0,56941.0,8366.0,6176.0,"Pfizer/BioNTech, Sinovac",690066.0,4959.0,27245.0,17786.0,84.0
918,Chile,2021-01-23,65307.0,56941.0,8366.0,6163.0,"Pfizer/BioNTech, Sinovac",694647.0,4581.0,26991.0,17854.0,68.0
919,Chile,2021-01-24,65307.0,56941.0,8366.0,6163.0,"Pfizer/BioNTech, Sinovac",699110.0,4463.0,27076.0,17933.0,79.0
920,Chile,2021-01-25,66724.0,56958.0,9766.0,4788.0,"Pfizer/BioNTech, Sinovac",703178.0,4068.0,26855.0,17999.0,66.0
921,Chile,2021-01-26,67340.0,56979.0,10361.0,2116.0,"Pfizer/BioNTech, Sinovac",706500.0,3322.0,26017.0,18023.0,24.0
922,Chile,2021-01-27,67375.0,56980.0,10395.0,791.0,"Pfizer/BioNTech, Sinovac",709888.0,3388.0,25049.0,18040.0,17.0
923,Chile,2021-01-28,67375.0,56980.0,10395.0,354.0,"Pfizer/BioNTech, Sinovac",714143.0,4255.0,25633.0,18174.0,134.0
924,Chile,2021-01-29,67380.0,56980.0,10400.0,296.0,"Pfizer/BioNTech, Sinovac",718749.0,4606.0,26910.0,18257.0,83.0
925,Chile,2021-01-30,67380.0,56980.0,10400.0,296.0,"Pfizer/BioNTech, Sinovac",722900.0,4151.0,26959.0,18339.0,82.0
926,Chile,2021-01-31,67380.0,56980.0,10400.0,296.0,"Pfizer/BioNTech, Sinovac",727109.0,4209.0,26676.0,18452.0,113.0
927,Chile,2021-02-01,67380.0,56980.0,10400.0,94.0,"Pfizer/BioNTech, Sinovac",730888.0,3779.0,25977.0,18537.0,85.0
928,Chile,2021-02-02,80568.0,70162.0,10406.0,1890.0,"Pfizer/BioNTech, Sinovac",734035.0,3147.0,24823.0,18559.0,22.0
929,Chile,2021-02-03,250945.0,240539.0,10406.0,26224.0,"Pfizer/BioNTech, Sinovac",736645.0,2610.0,23109.0,18576.0,17.0
930,Chile,2021-02-04,427000.0,414487.0,12513.0,51375.0,"Pfizer/BioNTech, Sinovac",740237.0,3592.0,23258.0,18731.0,155.0
931,Chile,2021-02-05,596233.0,583050.0,13183.0,75550.0,"Pfizer/BioNTech, Sinovac",744019.0,3782.0,23896.0,18808.0,77.0
932,Chile,2021-02-06,624067.0,610879.0,13188.0,79527.0,"Pfizer/BioNTech, Sinovac",748082.0,4063.0,23167.0,18895.0,87.0
933,Chile,2021-02-07,632649.0,619461.0,13188.0,80753.0,"Pfizer/BioNTech, Sinovac",751886.0,3804.0,22883.0,18974.0,79.0
934,Chile,2021-02-08,865435.0,840493.0,24942.0,114008.0,"Pfizer/BioNTech, Sinovac",755350.0,3464.0,22583.0,19056.0,82.0
935,Chile,2021-02-09,1126331.0,1082060.0,44271.0,149395.0,"Pfizer/BioNTech, Sinovac",758189.0,2839.0,21797.0,19084.0,28.0
936,Chile,2021-02-10,1406228.0,1353634.0,52594.0,165040.0,"Pfizer/BioNTech, Sinovac",760576.0,2387.0,20619.0,19105.0,21.0
937,Chile,2021-02-11,1660024.0,1604564.0,55460.0,176146.0,"Pfizer/BioNTech, Sinovac",764307.0,3731.0,21552.0,19262.0,157.0
938,Chile,2021-02-12,1889149.0,1833482.0,55667.0,184702.0,"Pfizer/BioNTech, Sinovac",768471.0,4164.0,23181.0,19345.0,83.0
939,Chile,2021-02-13,1918664.0,1862963.0,55701.0,184942.0,"Pfizer/BioNTech, Sinovac",772395.0,3924.0,22748.0,19443.0,98.0
940,Chile,2021-02-14,1923125.0,1867424.0,55701.0,184354.0,"Pfizer/BioNTech, Sinovac",776209.0,3814.0,22937.0,19541.0,98.0
941,Chile,2021-02-15,2188128.0,2132427.0,55701.0,188956.0,"Pfizer/BioNTech, Sinovac",779541.0,3332.0,22791.0,19624.0,83.0
942,Chile,2021-02-16,2407826.0,2352115.0,55711.0,183071.0,"Pfizer/BioNTech, Sinovac",782039.0,2498.0,21930.0,19644.0,20.0
943,Chile,2021-02-17,2595464.0,2539753.0,55711.0,169891.0,"Pfizer/BioNTech, Sinovac",784314.0,2275.0,21349.0,19659.0,15.0
944,Chile,2021-02-18,2750347.0,2694636.0,55711.0,155760.0,"Pfizer/BioNTech, Sinovac",788142.0,3828.0,22030.0,19798.0,139.0
945,Chile,2021-02-19,2892245.0,2836534.0,55711.0,143299.0,"Pfizer/BioNTech, Sinovac",791939.0,3797.0,23122.0,19897.0,99.0
946,Chile,2021-02-20,2901860.0,2846149.0,55711.0,140457.0,"Pfizer/BioNTech, Sinovac",795845.0,3906.0,22834.0,19974.0,77.0
947,Chile,2021-02-21,2903024.0,2847313.0,55711.0,139986.0,"Pfizer/BioNTech, Sinovac",799460.0,3615.0,22654.0,20042.0,68.0
948,Chile,2021-02-22,3011069.0,2955337.0,55732.0,117563.0,"Pfizer/BioNTech, Sinovac",803009.0,3549.0,22306.0,20126.0,84.0
949,Chile,2021-02-23,3105131.0,3049359.0,55772.0,99615.0,"Pfizer/BioNTech, Sinovac",805317.0,2308.0,21262.0,20151.0,25.0
950,Chile,2021-02-24,3191189.0,3135245.0,55944.0,85104.0,"Pfizer/BioNTech, Sinovac",807872.0,2555.0,20367.0,20173.0,22.0
951,Chile,2021-02-25,3276933.0,3220845.0,56088.0,75227.0,"Pfizer/BioNTech, Sinovac",812344.0,4472.0,21844.0,20310.0,137.0
952,Chile,2021-02-26,3355039.0,3298834.0,56205.0,66113.0,"Pfizer/BioNTech, Sinovac",816929.0,4585.0,23578.0,20400.0,90.0
953,Chile,2021-02-27,3365041.0,3308832.0,56209.0,66169.0,"Pfizer/BioNTech, Sinovac",821418.0,4489.0,23987.0,20476.0,76.0
954,Chile,2021-02-28,3365392.0,3309183.0,56209.0,66053.0,"Pfizer/BioNTech, Sinovac",825625.0,4207.0,24523.0,20572.0,96.0
955,Chile,2021-03-01,3502628.0,3446023.0,56605.0,70223.0,"Pfizer/BioNTech, Sinovac",829770.0,4145.0,24897.0,20660.0,88.0
956,Chile,2021-03-02,3673426.0,3604512.0,68914.0,81185.0,"Pfizer/BioNTech, Sinovac",832512.0,2742.0,24128.0,20684.0,24.0
957,Chile,2021-03-03,3983397.0,3761404.0,221993.0,113173.0,"Pfizer/BioNTech, Sinovac",835552.0,3040.0,24320.0,20704.0,20.0
958,Chile,2021-03-04,4290422.0,3904659.0,385763.0,144784.0,"Pfizer/BioNTech, Sinovac",840119.0,4567.0,25462.0,20838.0,134.0
959,Chile,2021-03-05,4567412.0,4031812.0,535600.0,173196.0,"Pfizer/BioNTech, Sinovac",845450.0,5331.0,27731.0,20928.0,90.0
1229,Denmark,2021-01-15,163168.0,163163.0,5.0,7093.0,"Moderna, Pfizer/BioNTech",187320.0,659.0,20434.0,1720.0,17.0
1230,Denmark,2021-01-16,167781.0,167769.0,12.0,7481.0,"Moderna, Pfizer/BioNTech",188199.0,879.0,20085.0,1747.0,27.0
1231,Denmark,2021-01-17,171025.0,170301.0,724.0,7828.0,"Moderna, Pfizer/BioNTech",189088.0,889.0,18934.0,1775.0,28.0
1232,Denmark,2021-01-18,177041.0,174187.0,2854.0,8594.0,"Moderna, Pfizer/BioNTech",189895.0,807.0,18078.0,1805.0,30.0
1233,Denmark,2021-01-19,181614.0,176671.0,4943.0,9181.0,"Moderna, Pfizer/BioNTech",190619.0,724.0,16326.0,1837.0,32.0
1234,Denmark,2021-01-20,185006.0,178179.0,6827.0,7849.0,"Moderna, Pfizer/BioNTech",191505.0,886.0,15259.0,1872.0,35.0
1235,Denmark,2021-01-21,188880.0,179700.0,9180.0,5846.0,"Moderna, Pfizer/BioNTech",192265.0,760.0,14353.0,1909.0,37.0
1236,Denmark,2021-01-22,195196.0,180367.0,14829.0,4575.0,"Moderna, Pfizer/BioNTech",193038.0,773.0,13547.0,1941.0,32.0
1237,Denmark,2021-01-23,203168.0,181153.0,22015.0,5055.0,"Moderna, Pfizer/BioNTech",193917.0,879.0,12981.0,1969.0,28.0
1238,Denmark,2021-01-24,210325.0,181770.0,28555.0,5614.0,"Moderna, Pfizer/BioNTech",194671.0,754.0,12563.0,1983.0,14.0
1239,Denmark,2021-01-25,213031.0,182028.0,31003.0,5141.0,"Moderna, Pfizer/BioNTech",195296.0,625.0,12205.0,2010.0,27.0
1240,Denmark,2021-01-26,214991.0,182243.0,32748.0,4768.0,"Moderna, Pfizer/BioNTech",195948.0,652.0,11498.0,2030.0,20.0
1241,Denmark,2021-01-27,219561.0,182454.0,37107.0,4936.0,"Moderna, Pfizer/BioNTech",196540.0,592.0,10843.0,2050.0,20.0
1242,Denmark,2021-01-28,227918.0,182694.0,45224.0,5577.0,"Moderna, Pfizer/BioNTech",197208.0,668.0,10284.0,2071.0,21.0
1243,Denmark,2021-01-29,247387.0,183829.0,63558.0,7456.0,"Moderna, Pfizer/BioNTech",197664.0,456.0,9811.0,2084.0,13.0
1244,Denmark,2021-01-30,261599.0,185057.0,76542.0,8347.0,"Moderna, Pfizer/BioNTech",198095.0,431.0,9377.0,2106.0,22.0
1245,Denmark,2021-01-31,275160.0,186312.0,88848.0,9262.0,"Moderna, Pfizer/BioNTech",198472.0,377.0,9029.0,2125.0,19.0
1246,Denmark,2021-02-01,283790.0,187066.0,96724.0,10108.0,"Moderna, Pfizer/BioNTech",198960.0,488.0,8848.0,2145.0,20.0
1247,Denmark,2021-02-02,288858.0,189111.0,99747.0,10552.0,"Moderna, Pfizer/BioNTech",199357.0,397.0,8324.0,2160.0,15.0
1248,Denmark,2021-02-03,296594.0,190665.0,105929.0,11005.0,"Moderna, Pfizer/BioNTech",199782.0,425.0,7842.0,2170.0,10.0
1249,Denmark,2021-02-04,308954.0,192101.0,116853.0,11577.0,"Moderna, Pfizer/BioNTech",200335.0,553.0,7602.0,2184.0,14.0
1250,Denmark,2021-02-05,324021.0,193685.0,130336.0,10948.0,"Moderna, Pfizer/BioNTech",200773.0,438.0,7173.0,2201.0,17.0
1251,Denmark,2021-02-06,331765.0,194718.0,137047.0,10024.0,"Moderna, Pfizer/BioNTech",201186.0,413.0,6867.0,2215.0,14.0
1252,Denmark,2021-02-07,337321.0,196633.0,140688.0,8880.0,"Moderna, Pfizer/BioNTech",201621.0,435.0,6710.0,2216.0,1.0
1253,Denmark,2021-02-08,346918.0,199177.0,147741.0,9018.0,"Moderna, Pfizer/BioNTech",202051.0,430.0,6633.0,2216.0,0.0
1254,Denmark,2021-02-09,355390.0,202738.0,152652.0,9505.0,"Moderna, Pfizer/BioNTech",202417.0,366.0,6256.0,2244.0,28.0
1255,Denmark,2021-02-10,362592.0,206020.0,156572.0,9428.0,"Moderna, Pfizer/BioNTech",202887.0,470.0,6031.0,2255.0,11.0
1256,Denmark,2021-02-11,370700.0,211676.0,159024.0,8821.0,"Moderna, Pfizer/BioNTech",203365.0,478.0,5972.0,2269.0,14.0
1257,Denmark,2021-02-12,390334.0,223701.0,166633.0,9473.0,"Moderna, Pfizer/BioNTech",203793.0,428.0,5888.0,2280.0,11.0
1258,Denmark,2021-02-13,397856.0,230243.0,167613.0,9442.0,"Moderna, Pfizer/BioNTech",204067.0,274.0,5756.0,2284.0,4.0
1259,Denmark,2021-02-14,404706.0,236461.0,168245.0,9626.0,"Moderna, Pfizer/BioNTech",204362.0,295.0,5686.0,2292.0,8.0
1260,Denmark,2021-02-15,421661.0,250280.0,171381.0,10678.0,"Moderna, Pfizer/BioNTech",204799.0,437.0,5733.0,2301.0,9.0
1261,Denmark,2021-02-16,436178.0,263470.0,172708.0,11541.0,"Moderna, Pfizer/BioNTech",205183.0,384.0,5617.0,2308.0,7.0
1262,Denmark,2021-02-17,447085.0,273948.0,173137.0,12070.0,"Moderna, Pfizer/BioNTech",205597.0,414.0,5535.0,2316.0,8.0
1263,Denmark,2021-02-18,458872.0,285434.0,173438.0,12596.0,"Moderna, Pfizer/BioNTech",206065.0,468.0,5567.0,2319.0,3.0
1264,Denmark,2021-02-19,473752.0,299347.0,174405.0,11917.0,"Moderna, Pfizer/BioNTech",206617.0,552.0,5671.0,2327.0,8.0
1265,Denmark,2021-02-20,484837.0,309855.0,174982.0,12426.0,"Moderna, Pfizer/BioNTech",207081.0,464.0,5722.0,2333.0,6.0
